league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
B1,1819,2018-07-27,8922,Standard,True,5,2,3,0,11,7,9,0.6,0.8800000000000001,0.44000000000000006,2018-03-03
B1,1819,2018-07-27,8927,Genk,False,5,3,1,1,7,5,10,0.6666666666666666,0.5599999999999999,0.6,2018-03-03
B1,1819,2018-07-28,8934,Oostende,True,5,2,2,1,8,6,8,0.5333333333333333,0.64,0.52,2018-04-02
B1,1819,2018-07-28,8935,Mouscron,False,5,1,1,3,8,10,4,0.26666666666666666,0.64,0.19999999999999996,2018-03-03
B1,1819,2018-07-28,8930,Kortrijk,True,5,2,1,2,4,3,7,0.4666666666666667,0.32,0.76,2018-03-03
B1,1819,2018-07-28,8923,Anderlecht,False,5,2,2,1,13,11,8,0.5333333333333333,1.0,0.11999999999999988,2018-04-02
B1,1819,2018-07-28,8928,St Truiden,True,5,1,2,2,2,5,5,0.3333333333333333,0.16,0.6,2018-03-03
B1,1819,2018-07-28,8918,Cercle Brugge,False,5,1,3,1,8,9,6,0.4,0.64,0.28,2018-04-02
B1,1819,2018-07-28,8919,Waregem,True,5,2,2,1,9,8,8,0.5333333333333333,0.72,0.36,2018-04-02
B1,1819,2018-07-28,8936,Waasland-Beveren,False,5,1,2,2,7,8,5,0.3333333333333333,0.5599999999999999,0.36,2018-03-03
B1,1819,2018-07-29,8937,Lokeren,True,5,2,0,3,7,10,6,0.4,0.5599999999999999,0.19999999999999996,2018-03-03
B1,1819,2018-07-29,8927,Genk,False,5,2,1,2,7,7,7,0.4666666666666667,0.5599999999999999,0.44000000000000006,2018-07-27
B1,1819,2018-07-29,8926,Charleroi,True,5,0,5,0,6,6,5,0.3333333333333333,0.48,0.52,2018-04-02
B1,1819,2018-07-29,8915,Antwerp,False,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2018-03-03
B1,1819,2018-07-29,8918,Cercle Brugge,True,5,1,4,0,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2018-07-28
B1,1819,2018-07-29,8931,Eupen,False,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2018-03-03
B1,1819,2018-08-03,8936,Waasland-Beveren,True,5,1,2,2,7,8,5,0.3333333333333333,0.5599999999999999,0.36,2018-07-28
B1,1819,2018-08-03,8922,Standard,False,5,3,2,0,11,6,11,0.7333333333333333,0.8800000000000001,0.52,2018-07-27
B1,1819,2018-08-04,8931,Eupen,True,5,1,1,3,8,13,4,0.26666666666666666,0.64,0.0,2018-07-29
